Artist,Album,Title,Date
Bazzi,Cosmic,Mine,20 Oct 2021 19:07
Rihanna,Rated R,Hard,20 Oct 2021 19:03
Mac Miller,Faces,Diablo,20 Oct 2021 18:59
Marshmello,FRIENDS,FRIENDS,20 Oct 2021 18:57
Charlie Puth,Voicenotes,Done for Me (feat. Kehlani),20 Oct 2021 18:41
Kendrick Lamar,DAMN.,FEEL.,20 Oct 2021 18:37
Kygo,Kids in Love,Riding Shotgun (feat. Bonnie McKee),20 Oct 2021 18:34
Flight Facilities,Crave You,Crave you,20 Oct 2021 18:30
Snoop Dogg,BUSH,So Many Pros,20 Oct 2021 18:26
Manic Drive,Mic Drop,Mic Drop,20 Oct 2021 17:26
MØ,Sun In Our Eyes,Sun in Our Eyes,20 Oct 2021 17:22
Kungs,Never Going Home (Lost Frequencies Remix),Never Going Home - Lost Frequencies Remix,20 Oct 2021 17:19
Jagged Edge,Jagged Little Thrill,Where the Party At (feat. Nelly),20 Oct 2021 17:15
Echosmith,Lonely Generation,Love You Better,20 Oct 2021 17:11
The Prodigy,The Fat of the Land - Expanded Edition,Smack My Bitch Up,20 Oct 2021 17:06
Snoop Dogg,BUSH,So Many Pros,20 Oct 2021 17:02
MisterWives,Our Own House,Reflections,20 Oct 2021 17:01
Coin,How Will You Know If You Never Try,Talk Too Much,20 Oct 2021 16:26
Kacey Musgraves,Golden Hour,High Horse,20 Oct 2021 16:23
Kacey Musgraves,star-crossed,breadwinner,20 Oct 2021 16:19
Charli XCX,Good Ones,Good Ones,20 Oct 2021 16:16
Coin,How Will You Know If You Never Try,Talk Too Much,20 Oct 2021 16:13
MisterWives,Our Own House,Reflections,20 Oct 2021 16:10
Kacey Musgraves,Golden Hour,High Horse,20 Oct 2021 16:06
Kacey Musgraves,star-crossed,breadwinner,20 Oct 2021 16:03
The Weeknd,Starboy,Starboy,20 Oct 2021 16:01
Pentatonix,That's Christmas to Me (Deluxe Edition),Mary Did You Know?,20 Oct 2021 15:57
Far East Movement,Free Wired,Like a G6,20 Oct 2021 15:54
Rich Brian,Dat $tick,Dat $tick,20 Oct 2021 15:52
Martin Garrix,So Far Away (feat. Jamie Scott & Romy Dya),So Far Away (feat. Jamie Scott & Romy Dya),20 Oct 2021 15:49
Kylie Minogue,Body Language,Slow,20 Oct 2021 15:45
Mac Miller,Faces,Diablo,20 Oct 2021 15:42
Dev,The Night the Sun Came Up,Naked,20 Oct 2021 15:38
Snoop Dogg,BUSH,So Many Pros,20 Oct 2021 15:22
Big Data,1.6 (feat. Joywave),Dangerous (feat. Joywave) - Oliver Remix,20 Oct 2021 15:19
Kylie Minogue,Body Language,Slow,20 Oct 2021 15:16
Mac Miller,Faces,Diablo,20 Oct 2021 15:12
Jerry Folk,I'm Honestly Not a Gangster,I'm Honestly Not a Gangster,20 Oct 2021 15:10
Dev,The Night the Sun Came Up,Naked,20 Oct 2021 15:04
Glass Animals,How to Be a Human Being,Take A Slice,20 Oct 2021 15:00
Bad Suns,Language & Perspective,Salt,20 Oct 2021 14:57
Glass Animals,Dreamland (+ Bonus Levels),Your Love (Deja Vu) - Stripped Back,20 Oct 2021 14:52
Dominic Fike,Phone Numbers,Phone Numbers,20 Oct 2021 14:50
Glass Animals,How to Be a Human Being,[Premade Sandwiches],20 Oct 2021 14:49
Purple Disco Machine,Exotica,Fireworks,20 Oct 2021 14:46
Glass Animals,Dreamland (+ Bonus Levels),Tokyo Drifting,20 Oct 2021 14:42
Saint Motel,The Original Motion Picture Soundtrack,A Good Song Never Dies,20 Oct 2021 14:39
Glass Animals,How to Be a Human Being,Life Itself,20 Oct 2021 14:34
The Animals,The Animals,The House of the Rising Sun,20 Oct 2021 14:32
The Beatles,1 (Remastered),Day Tripper - Remastered 2015,20 Oct 2021 14:29
Silversun Pickups,Swoon,Panic Switch,20 Oct 2021 14:23
Snoop Dogg,BUSH,So Many Pros,20 Oct 2021 14:18
Lindsey Stirling,Lindsey Stirling,Elements,20 Oct 2021 14:13
Lindsey Stirling,Lindsey Stirling,Transcendence,20 Oct 2021 14:10
Lindsey Stirling,Lindsey Stirling,Minimal Beat,20 Oct 2021 14:06
Lindsey Stirling,Lindsey Stirling,Moon Trance,20 Oct 2021 14:02
